Team,Games Played,Points,Final Position,Total Changes,Gold Cup Players
New York,34,60,1,82,3
FC Dallas,34,60,2,105,5
Vancouver,34,53,3,105,2
Columbus,34,53,4,69,1
Portland,34,53,5,81,1
L.A. Galaxy,34,51,6,115,3
Seattle,34,51,7,130,3
Montreal,34,51,8,141,1
Kansas City,34,51,9,127,3
DC United,34,51,10,114,1
New England,34,50,11,91,0
Toronto,34,49,12,113,5
San Jose,34,47,13,100,2
Orlando City,34,44,14,127,2
Houston,34,42,15,101,3
Salt Lake,34,41,16,139,5
New York City FC,34,37,17,129,1
Colorado,34,37,18,146,1
Philadelphia,34,37,19,122,1
Chicago,34,30,20,133,1
